,Model##other##,Description##other##,Left Storage Tower##other##,Right Storage Tower##other##,Has Double Doors##other##
"Left Full Wardrobe,Right Upper Wardrobe & Lower Door, Double Doors",ZXOS108744DD5N,"Stor Wall w/R Stor Int,108""wx74""h,Full Wdrb-L Twr Stor,Dbl Drs,Up Wdrb & Low Dr-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Full Wardrobe,Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,1
"Left Full Wardrobe,Right Upper Wardrobe & File File Pedestal, Double Doors",ZXOS108744DD6N,"Stor Wall w/R Stor Int,108""wx74""h,Full Wdrb-L Twr Stor,Dbl Drs,Up Wdrb & FF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Full Wardrobe,Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,1
"Left Full Wardrobe,Right Upper Wardrobe & Box Box File Pedestal, Double Doors",ZXOS108744DD7N,"Stor Wall w/R Stor Int,108""wx74""h,Full Wdrb-L Twr Stor,Dbl Drs,Up Wdrb & BBF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Full Wardrobe,Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,1
"Left Full Wardrobe,Right Upper Shelves & Lower Door, File File ",ZXOS108744FF1N,"Stor Wall w/R Stor Int,108""wx74""h,Full Wdrb-L Twr Stor,FF,Up Shlvs & Low Dr-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Full Wardrobe,Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,0
"Left Full Wardrobe,Right Upper Shelves & File File Pedestal, File File",ZXOS108744FF2N,"Stor Wall w/R Stor Int,108""wx74""h,Full Wdrb-L Twr Stor,FF,Up Shlvs & FF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Full Wardrobe,Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,0
"Left Full Wardrobe,Right Upper Shelves & Box Box File Pedestal, File File",ZXOS108744FF3N,"Stor Wall w/R Stor Int,108""wx74""h,Full Wdrb-L Twr Stor,FF,Up Shlvs & BBF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Full Wardrobe,Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,0
"Left Full Wardrobe,Right Full Wardrobe, File File",ZXOS108744FF4N,"Stor Wall w/R Stor Int,108""wx74""h,Full Wdrb-L Twr Stor,FF,Full Wdrb-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Full Wardrobe,Storage-Unit-Teknion-Tower : Full Wardrobe,0
"Left Full Wardrobe,Right Upper Wardrobe & Lower Door, File File ",ZXOS108744FF5N,"Stor Wall w/R Stor Int,108""wx74""h,Full Wdrb-L Twr Stor,FF,Up Wdrb & Low Dr-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Full Wardrobe,Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,0
"Left Full Wardrobe,Right Upper Wardrobe & File File Pedestal, File File",ZXOS108744FF6N,"Stor Wall w/R Stor Int,108""wx74""h,Full Wdrb-L Twr Stor,FF,Up Wdrb & FF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Full Wardrobe,Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,0
"Left Full Wardrobe,Right Upper Wardrobe & Box Box File Pedestal, File File",ZXOS108744FF7N,"Stor Wall w/R Stor Int,108""wx74""h,Full Wdrb-L Twr Stor,FF,Up Wdrb & BBF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Full Wardrobe,Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,0
