,Model##other##,Description##other##,Left Storage Tower##other##,Right Storage Tower##other##,Has Left Double Doors##other##,Has Right Double Doors##other##
"Left Upper Shelves & File File Pedestal, Double Doors, Right Upper Wardrobe & Box Box File Pedestal, File File",ZXDS108742DDFF7N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs-L Int Stor,FF-R Int Stor,Up Wdrb & BBF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,1,0
"Left Upper Shelves & File File Pedestal, File File, Right Upper Shelves & Lower Door, Double Doors",ZXDS108742FFDD1N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,FF-L Int Stor,Dbl Drs-R Int Stor,Up Shlvs & Low Dr-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,0,1
"Left Upper Shelves & File File Pedestal, File File, Right Upper Shelves & File File Pedestal, Double Doors",ZXDS108742FFDD2N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,FF-L Int Stor,Dbl Drs-R Int Stor,Up Shlvs & FF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,0,1
"Left Upper Shelves & File File Pedestal, File File, Right Upper Shelves & Box Box File Pedestal, Double Doors",ZXDS108742FFDD3N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,FF-L Int Stor,Dbl Drs-R Int Stor,Up Shlvs & BBF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,0,1
"Left Upper Shelves & File File Pedestal, File File, Right Full Wardrobe, Double Doors",ZXDS108742FFDD4N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,FF-L Int Stor,Dbl Drs-R Int Stor,Up Shlvs & Full Wdrb-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Full Wardrobe,0,1
"Left Upper Shelves & File File Pedestal, File File, Right Upper Wardrobe & Lower Door, Double Doors",ZXDS108742FFDD5N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,FF-L Int Stor,Dbl Drs-R Int Stor,Up Wdrb & Low Dr-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,0,1
"Left Upper Shelves & File File Pedestal, File File, Right Upper Wardrobe & File File Pedestal, Double Doors",ZXDS108742FFDD6N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,FF-L Int Stor,Dbl Drs-R Int Stor,Up Wdrb & FF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,0,1
"Left Upper Shelves & File File Pedestal, File File, Right Upper Wardrobe & Box Box File Pedestal, Double Doors",ZXDS108742FFDD7N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,FF-L Int Stor,Dbl Drs-R Int Stor,Up Wdrb & BBF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,0,1
"Left Upper Shelves & File File Pedestal, File File, Right Upper Shelves & Lower Door, File File",ZXDS108742FFFF1N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,FF-L Int Stor,FF-R Int Stor,Up Shlvs & Low Dr-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,0,0
"Left Upper Shelves & File File Pedestal, File File, Right Upper Shelves & File File Pedestal, File File",ZXDS108742FFFF2N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,FF-L Int Stor,FF-R Int Stor,Up Shlvs & FF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,0,0
