,Model##other##,Description##other##,Left Storage Tower##other##,Right Storage Tower##other##,Has Left Double Doors##other##,Has Right Double Doors##other##
"Left Upper Shelves & Lower Door, Double Doors, Right Upper Wardrobe & Lower Door, File File",ZXDS108741DDFF5N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,Dbl Drs-L Int Stor,FF-R Int Stor,Up Wdrb & Low Dr-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,1,0
"Left Upper Shelves & Lower Door, Double Doors, Right Upper Wardrobe & File File Pedestal, File File",ZXDS108741DDFF6N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,Dbl Drs-L Int Stor,FF-R Int Stor,Up Wdrb & FF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,1,0
"Left Upper Shelves & Lower Door, Double Doors, Right Upper Wardrobe & Box Box File Pedestal, File File",ZXDS108741DDFF7N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,Dbl Drs-L Int Stor,FF-R Int Stor,Up Wdrb & BBF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,1,0
"Left Upper Shelves & Lower Door, File File, Right Upper Shelves & Lower Door, Double Doors",ZXDS108741FFDD1N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,FF-L Int Stor,Dbl Drs-R Int Stor,Up Shlvs & Low Dr-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,0,1
"Left Upper Shelves & Lower Door, File File, Right Upper Shelves & File File Pedestal, Double Doors",ZXDS108741FFDD2N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,FF-L Int Stor,Dbl Drs-R Int Stor,Up Shlvs & FF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,0,1
"Left Upper Shelves & Lower Door, File File, Right Upper Shelves & Box Box File Pedestal, Double Doors",ZXDS108741FFDD3N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,FF-L Int Stor,Dbl Drs-R Int Stor,Up Shlvs & BBF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,0,1
"Left Upper Shelves & Lower Door, File File, Right Full Wardrobe, Double Doors",ZXDS108741FFDD4N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,FF-L Int Stor,Dbl Drs-R Int Stor,Up Shlvs & Full Wdrb-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Full Wardrobe,0,1
"Left Upper Shelves & Lower Door, File File, Right Upper Wardrobe & Lower Door, Double Doors",ZXDS108741FFDD5N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,FF-L Int Stor,Dbl Drs-R Int Stor,Up Wdrb & Low Dr-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,0,1
"Left Upper Shelves & Lower Door, File File, Right Upper Wardrobe & File File Pedestal, Double Doors",ZXDS108741FFDD6N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,FF-L Int Stor,Dbl Drs-R Int Stor,Up Wdrb & FF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,0,1
"Left Upper Shelves & Lower Door, File File, Right Upper Wardrobe & Box Box File Pedestal, Double Doors",ZXDS108741FFDD7N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,FF-L Int Stor,Dbl Drs-R Int Stor,Up Wdrb & BBF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,0,1
"Left Upper Shelves & Lower Door, File File, Right Upper Shelves & Lower Door, File File",ZXDS108741FFFF1N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,FF-L Int Stor,FF-R Int Stor,Up Shlvs & Low Dr-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,0,0
"Left Upper Shelves & Lower Door, File File, Right Upper Shelves & File File Pedestal, File File",ZXDS108741FFFF2N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,FF-L Int Stor,FF-R Int Stor,Up Shlvs & FF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,0,0
"Left Upper Shelves & Lower Door, File File, Right Upper Shelves & Box Box File Pedestal, File File",ZXDS108741FFFF3N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,FF-L Int Stor,FF-R Int Stor,Up Shlvs & BBF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,0,0
"Left Upper Shelves & Lower Door, File File, Right Full Wardrobe, File File",ZXDS108741FFFF4N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,FF-L Int Stor,FF-R Int Stor,Up Shlvs & Full Wdrb-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Full Wardrobe,0,0
"Left Upper Shelves & Lower Door, File File, Right Upper Wardrobe & Lower Door, File File",ZXDS108741FFFF5N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,FF-L Int Stor,FF-R Int Stor,Up Wdrb & Low Dr-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,0,0
"Left Upper Shelves & Lower Door, File File, Right Upper Wardrobe & File File Pedestal, File File",ZXDS108741FFFF6N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,FF-L Int Stor,FF-R Int Stor,Up Wdrb & FF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,0,0
"Left Upper Shelves & Lower Door, File File, Right Upper Wardrobe & Box Box File Pedestal, File File",ZXDS108741FFFF7N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,FF-L Int Stor,FF-R Int Stor,Up Wdrb & BBF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,0,0
"Left Upper Shelves & File File Pedestal, Double Doors, Right Upper Shelves & Lower Door, Double Doors",ZXDS108742DDDD1N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,Up Shlvs & Low Dr-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,1,1
"Left Upper Shelves & File File Pedestal, Double Doors, Right Upper Shelves & File File Pedestal, Double Doors",ZXDS108742DDDD2N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,Up Shlvs & FF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,1,1
"Left Upper Shelves & File File Pedestal, Double Doors, Right Upper Shelves & Box Box File Pedestal, Double Doors",ZXDS108742DDDD3N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,Up Shlvs & BBF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,1,1
"Left Upper Shelves & File File Pedestal, Double Doors, Right Full Wardrobe, Double Doors",ZXDS108742DDDD4N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,Up Shlvs & Full Wdrb-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Full Wardrobe,1,1
"Left Upper Shelves & File File Pedestal, Double Doors, Right Upper Wardrobe & Lower Door, Double Doors",ZXDS108742DDDD5N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,Up Wdrb & Low Dr-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,1,1
"Left Upper Shelves & File File Pedestal, Double Doors, Right Upper Wardrobe & File File Pedestal, Double Doors",ZXDS108742DDDD6N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,Up Wdrb & FF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,1,1
"Left Upper Shelves & File File Pedestal, Double Doors, Right Upper Wardrobe & Box Box File Pedestal, Double Doors",ZXDS108742DDDD7N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,Up Wdrb & BBF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,1,1
"Left Upper Shelves & File File Pedestal, Double Doors, Right Upper Shelves & Lower Door, File File",ZXDS108742DDFF1N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs-L Int Stor,FF-R Int Stor,Up Shlvs & Low Dr-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,1,0
"Left Upper Shelves & File File Pedestal, Double Doors, Right Upper Shelves & File File Pedestal, File File",ZXDS108742DDFF2N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs-L Int Stor,FF-R Int Stor,Up Shlvs & FF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,1,0
"Left Upper Shelves & File File Pedestal, Double Doors, Right Upper Shelves & Box Box File Pedestal, File File",ZXDS108742DDFF3N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs-L Int Stor,FF-R Int Stor,Up Shlvs & BBF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,1,0
"Left Upper Shelves & File File Pedestal, Double Doors, Right Full Wardrobe, File File",ZXDS108742DDFF4N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs-L Int Stor,FF-R Int Stor,Up Shlvs & Full Wdrb-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Full Wardrobe,1,0
"Left Upper Shelves & File File Pedestal, Double Doors, Right Upper Wardrobe & Lower Door, File File",ZXDS108742DDFF5N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs-L Int Stor,FF-R Int Stor,Up Wdrb & Low Dr-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,1,0
"Left Upper Shelves & File File Pedestal, Double Doors, Right Upper Wardrobe & File File Pedestal, File File",ZXDS108742DDFF6N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs-L Int Stor,FF-R Int Stor,Up Wdrb & FF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,1,0
