,Model##other##,Description##other##,Storage Tower##other##,Has Left Double Doors##other##,Has Right Double Doors##other##
"Upper Shelves & Box Box File Pedestal, Left File File, Right Double Doors",ZXRS92743FFDDL,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Up Shlvs & BBF Ped-R Twr Stor,File/File-L Int Stor,Dbl Drs-R Int Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,0,1
"Upper Shelves & Box Box File Pedestal, Left File File, Right File File",ZXRS92743FFFFL,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Up Shlvs & BBF Ped-R Twr Stor,File/File-L Int Stor,File/File-R Int Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,0,0
"Full Wardrobe, Left Double Doors, Right Double Doors",ZXRS92744DDDDL,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Full Wdrb-R Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,w/Light",Storage-Unit-Teknion-Tower : Full Wardrobe,1,1
"Full Wardrobe, Left Double Doors, Right File File",ZXRS92744DDFFL,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Full Wdrb-R Twr Stor,Dbl Drs-L Int Stor,File/File-R Int Stor,w/Light",Storage-Unit-Teknion-Tower : Full Wardrobe,1,0
"Full Wardrobe, Left File File, Right Double Doors",ZXRS92744FFDDL,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Full Wdrb-R Twr Stor,File/File-L Int Stor,Dbl Drs-R Int Stor,w/Light",Storage-Unit-Teknion-Tower : Full Wardrobe,0,1
"Full Wardrobe, Left File File, Right File File",ZXRS92744FFFFL,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Full Wdrb-R Twr Stor,File/File-L Int Stor,File/File-R Int Stor,w/Light",Storage-Unit-Teknion-Tower : Full Wardrobe,0,0
"Upper Wardrobe & Lower Door, Left Double Doors, Right Double Doors",ZXRS92745DDDDL,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Up Wdrb & Low Dr-R Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,1,1
"Upper Wardrobe & Lower Door, Left Double Doors, Right File File",ZXRS92745DDFFL,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Up Wdrb & Low Dr-R Twr Stor,Dbl Drs-L Int Stor,File/File-R Int Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,1,0
"Upper Wardrobe & Lower Door, Left File File, Right Double Doors",ZXRS92745FFDDL,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Up Wdrb & Low Dr-R Twr Stor,File/File-L Int Stor,Dbl Drs-R Int Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,0,1
"Upper Wardrobe & Lower Door, Left File File, Right File File",ZXRS92745FFFFL,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Up Wdrb & Low Dr-R Twr Stor,File/File-L Int Stor,File/File-R Int Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,0,0
"Upper Wardrobe & File File Pedestal, Left Double Doors, Right Double Doors",ZXRS92746DDDDL,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Up Wdrb & FF Ped-R Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,1,1
"Upper Wardrobe & File File Pedestal, Left Double Doors, Right File File",ZXRS92746DDFFL,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Up Wdrb & FF Ped-R Twr Stor,Dbl Drs-L Int Stor,File/File-R Int Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,1,0
"Upper Wardrobe & File File Pedestal, Left File File, Right Double Doors",ZXRS92746FFDDL,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Up Wdrb & FF Ped-R Twr Stor,File/File-L Int Stor,Dbl Drs-R Int Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,0,1
"Upper Wardrobe & File File Pedestal, Left File File, Right File File",ZXRS92746FFFFL,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Up Wdrb & FF Ped-R Twr Stor,File/File-L Int Stor,File/File-R Int Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,0,0
"Upper Wardrobe & Box Box File Pedestal, Left Double Doors, Right Double Doors",ZXRS92747DDDDL,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Up Wdrb & BBF Ped-R Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,1,1
"Upper Wardrobe & Box Box File Pedestal, Left Double Doors, Right File File",ZXRS92747DDFFL,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Up Wdrb & BBF Ped-R Twr Stor,Dbl Drs-L Int Stor,File/File-R Int Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,1,0
"Upper Wardrobe & Box Box File Pedestal, Left File File, Right Double Doors",ZXRS92747FFDDL,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Up Wdrb & BBF Ped-R Twr Stor,File/File-L Int Stor,Dbl Drs-R Int Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,0,1
"Upper Wardrobe & Box Box File Pedestal, Left File File, Right File File",ZXRS92747FFFFL,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Up Wdrb & BBF Ped-R Twr Stor,File/File-L Int Stor,File/File-R Int Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,0,0
