,Model##other##,Description##other##,Storage Tower##other##,Has Left Double Doors##other##,Has Right Double Doors##other##
"Upper Wardrobe & Lower Door, Left Double Doors, Right Double Doors",ZXRS92745DDDDN,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Up Wdrb & Low Dr-R Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,1,1
"Upper Wardrobe & Lower Door, Left Double Doors, Right File File",ZXRS92745DDFFN,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Up Wdrb & Low Dr-R Twr Stor,Dbl Drs-L Int Stor,File/File-R Int Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,1,0
"Upper Wardrobe & Lower Door, Left File File, Right Double Doors",ZXRS92745FFDDN,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Up Wdrb & Low Dr-R Twr Stor,File/File-L Int Stor,Dbl Drs-R Int Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,0,1
"Upper Wardrobe & Lower Door, Left File File, Right File File",ZXRS92745FFFFN,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Up Wdrb & Low Dr-R Twr Stor,File/File-L Int Stor,File/File-R Int Stor,w/o  Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,0,0
"Upper Wardrobe & File File Pedestal, Left Double Doors, Right Double Doors",ZXRS92746DDDDN,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Up Wdrb & FF Ped-R Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,1,1
"Upper Wardrobe & File File Pedestal, Left Double Doors, Right File File",ZXRS92746DDFFN,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Up Wdrb & FF Ped-R Twr Stor,Dbl Drs-L Int Stor,File/File-R Int Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,1,0
"Upper Wardrobe & File File Pedestal, Left File File, Right Double Doors",ZXRS92746FFDDN,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Up Wdrb & FF Ped-R Twr Stor,File/File-L Int Stor,Dbl Drs-R Int Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,0,1
"Upper Wardrobe & File File Pedestal, Left File File, Right File File",ZXRS92746FFFFN,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Up Wdrb & FF Ped-R Twr Stor,File/File-L Int Stor,File/File-R Int Stor,w/o  Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,0,0
"Upper Wardrobe & Box Box File Pedestal, Left Double Doors, Right Double Doors",ZXRS92747DDDDN,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Up Wdrb & BBF Ped-R Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,1,1
"Upper Wardrobe & Box Box File Pedestal, Left Double Doors, Right File File",ZXRS92747DDFFN,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Up Wdrb & BBF Ped-R Twr Stor,Dbl Drs-L Int Stor,File/File-R Int Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,1,0
"Upper Wardrobe & Box Box File Pedestal, Left File File, Right Double Doors",ZXRS92747FFDDN,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Up Wdrb & BBF Ped-R Twr Stor,File/File-L Int Stor,Dbl Drs-R Int Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,0,1
"Upper Wardrobe & Box Box File Pedestal, Left File File, Right File File",ZXRS92747FFFFN,"Stor Wall w/R Twr & Dbl Stor Int,92""wx74""h,Up Wdrb & BBF Ped-R Twr Stor,File/File-L Int Stor,File/File-R Int Stor,w/o  Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,0,0
