;Model##other##;Description##other##;Left Storage Tower##other##;Right Storage Tower##other##;Has Double Doors##other##
Left Upper Shelves & Lower Door, Right Upper Shelves & Lower Door, Double Doors;ZXSO108741DD1N;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,Dbl Drs,Up Shlvs & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;1
Left Upper Shelves & Lower Door, Right Upper Shelves & File File Pedestal, Double Doors;ZXSO108741DD2N;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,Dbl Drs,Up Shlvs & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;1
Left Upper Shelves & Lower Door, Right Upper Shelves & Box Box File Pedestal, Double Doors;ZXSO108741DD3N;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,Dbl Drs,Up Shlvs & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;1
Left Upper Shelves & Lower Door, Right Full Wardrobe, Double Doors;ZXSO108741DD4N;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,Dbl Drs,Full Wdrb-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Full Wardrobe;1
Left Upper Shelves & Lower Door, Right Upper Wardrobe & Lower Door, Double Doors;ZXSO108741DD5N;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,Dbl Drs,Up Wdrb & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;1
Left Upper Shelves & Lower Door, Right Upper Wardrobe & File File Pedestal, Double Doors;ZXSO108741DD6N;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,Dbl Drs,Up Wdrb & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;1
Left Upper Shelves & Lower Door, Right Upper Wardrobe & Box Box File Pedestal, Double Doors;ZXSO108741DD7N;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,Dbl Drs,Up Wdrb & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;1
Left Upper Shelves & Lower Door, Right Upper Shelves & Lower Door, File File;ZXSO108741FF1N;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,FF,Up Shlvs & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;0
Left Upper Shelves & Lower Door, Right Upper Shelves & File File Pedestal, File File;ZXSO108741FF2N;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,FF,Up Shlvs & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;0
Left Upper Shelves & Lower Door, Right Upper Shelves & Box Box File Pedestal, File File;ZXSO108741FF3N;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,FF,Up Shlvs & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;0
Left Upper Shelves & Lower Door, Right Full Wardrobe, File File;ZXSO108741FF4N;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,FF,Full Wdrb-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Full Wardrobe;0
Left Upper Shelves & Lower Door, Right Upper Wardrobe & Lower Door, File File;ZXSO108741FF5N;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,FF,Up Wdrb & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;0
Left Upper Shelves & Lower Door, Right Upper Wardrobe & File File Pedestal, File File;ZXSO108741FF6N;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,FF,Up Wdrb & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;0
Left Upper Shelves & Lower Door, Right Upper Wardrobe & Box Box File Pedestal, File File;ZXSO108741FF7N;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,FF,Up Wdrb & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;0
Left Upper Shelves & File File Pedestal, Right Upper Shelves & Lower Door, Double Doors;ZXSO108742DD1N;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs,Up Shlvs & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;1
Left Upper Shelves & File File Pedestal, Right Upper Shelves & File File Pedestal, Double Doors;ZXSO108742DD2N;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs,Up Shlvs & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;1
Left Upper Shelves & File File Pedestal, Right Upper Shelves & Box Box File Pedestal, Double Doors;ZXSO108742DD3N;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs,Up Shlvs & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;1
Left Upper Shelves & File File Pedestal, Right Full Wardrobe, Double Doors;ZXSO108742DD4N;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs,Full Wdrb-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Full Wardrobe;1
Left Upper Shelves & File File Pedestal, Right Upper Wardrobe & Lower Door, Double Doors;ZXSO108742DD5N;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs,Up Wdrb & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;1
