;Model##other##;Description##other##;Left Storage Tower##other##;Right Storage Tower##other##
Left Upper Shelves & Lower Door, Right Upper Shelves & Lower Door;ZXDO1087411N;"Stor Wall w/Open Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,Up Shlvs & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door
Left Upper Shelves & Lower Door, Right Upper Shelves & File File Pedestal;ZXDO1087412N;"Stor Wall w/Open Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,Up Shlvs & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal
Left Upper Shelves & Lower Door, Right Upper Shelves & Box Box File Pedestal;ZXDO1087413N;"Stor Wall w/Open Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,Up Shlvs & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal
Left Upper Shelves & Lower Door, Right Full Wardrobe;ZXDO1087414N;"Stor Wall w/Open Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,Full Wdrb-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Full Wardrobe
Left Upper Shelves & Lower Door, Right Upper Wardrobe & Lower Door;ZXDO1087415N;"Stor Wall w/Open Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,Up Wdrb & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door
Left Upper Shelves & Lower Door, Right Upper Wardrobe & File File Pedestal;ZXDO1087416N;"Stor Wall w/Open Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,Up Wdrb & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal
Left Upper Shelves & Lower Door, Right Upper Wardrobe & Box Box File Pedestal;ZXDO1087417N;"Stor Wall w/Open Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,Up Wdrb & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal
Left Upper Shelves & File File Pedestal, Right Upper Shelves & Lower Door;ZXDO1087421N;"Stor Wall w/Open Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Up Shlvs & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door
Left Upper Shelves & File File Pedestal, Right Upper Shelves & File File Pedestal;ZXDO1087422N;"Stor Wall w/Open Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Up Shlvs & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal
Left Upper Shelves & File File Pedestal, Right Upper Shelves & Box Box File Pedestal;ZXDO1087423N;"Stor Wall w/Open Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Up Shlvs & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal
