,Model##other##,Description##other##,Left Storage Tower##other##,Right Storage Tower##other##,Has Left Double Doors##other##,Has Right Double Doors##other##
"Left Upper Wardrobe & Lower Door, File File, Right Upper Shelves & Lower Door, File File",ZXDS108745FFFF1L,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,FF-L Int Stor,FF-R Int Stor,Up Shlvs & Low Dr-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,0,0
"Left Upper Wardrobe & Lower Door, File File, Right Upper Shelves & File File Pedestal, File File",ZXDS108745FFFF2L,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,FF-L Int Stor,FF-R Int Stor,Up Shlvs & FF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,0,0
"Left Upper Wardrobe & Lower Door, File File, Right Upper Shelves & Box Box File Pedestal, File File",ZXDS108745FFFF3L,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,FF-L Int Stor,FF-R Int Stor,Up Shlvs & BBF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,0,0
"Left Upper Wardrobe & Lower Door, File File, Right Full Wardrobe, File File",ZXDS108745FFFF4L,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,FF-L Int Stor,FF-R Int Stor,Up Shlvs & Full Wdrb-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Full Wardrobe,0,0
"Left Upper Wardrobe & Lower Door, File File, Right Upper Wardrobe & Lower Door, File File",ZXDS108745FFFF5L,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,FF-L Int Stor,FF-R Int Stor,Up Wdrb & Low Dr-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,0,0
"Left Upper Wardrobe & Lower Door, File File, Right Upper Wardrobe & File File Pedestal, File File",ZXDS108745FFFF6L,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,FF-L Int Stor,FF-R Int Stor,Up Wdrb & FF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,0,0
"Left Upper Wardrobe & Lower Door, File File, Right Upper Wardrobe & Box Box File Pedestal, File File",ZXDS108745FFFF7L,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,FF-L Int Stor,FF-R Int Stor,Up Wdrb & BBF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,0,0
"Left Upper Wardrobe & File File Pedestal, Double Doors, Right Upper Shelves & Lower Door, Double Doors",ZXDS108746DDDD1L,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Wdrb & FF Ped-L Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,Up Shlvs & Low Dr-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,1,1
"Left Upper Wardrobe & File File Pedestal, Double Doors, Right Upper Shelves & File File Pedestal, Double Doors",ZXDS108746DDDD2L,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Wdrb & FF Ped-L Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,Up Shlvs & FF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,1,1
"Left Upper Wardrobe & File File Pedestal, Double Doors, Right Upper Shelves & Box Box File Pedestal, Double Doors",ZXDS108746DDDD3L,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Wdrb & FF Ped-L Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,Up Shlvs & BBF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,1,1
