;Model##other##;Description##other##;Left Storage Tower##other##;Right Storage Tower##other##;Has Double Doors##other##
Left Upper Shelves & Lower Door, Right Upper Shelves & Lower Door, Double Doors;ZXSO108741DD1L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,Dbl Drs,Up Shlvs & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;1
Left Upper Shelves & Lower Door, Right Upper Shelves & File File Pedestal, Double Doors;ZXSO108741DD2L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,Dbl Drs,Up Shlvs & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;1
Left Upper Shelves & Lower Door, Right Upper Shelves & Box Box File Pedestal, Double Doors;ZXSO108741DD3L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,Dbl Drs,Up Shlvs & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;1
Left Upper Shelves & Lower Door, Right Full Wardrobe, Double Doors;ZXSO108741DD4L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,Dbl Drs,Full Wdrb-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Full Wardrobe;1
Left Upper Shelves & Lower Door, Right Upper Wardrobe & Lower Door, Double Doors;ZXSO108741DD5L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,Dbl Drs,Up Wdrb & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;1
Left Upper Shelves & Lower Door, Right Upper Wardrobe & File File Pedestal, Double Doors;ZXSO108741DD6L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,Dbl Drs,Up Wdrb & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;1
Left Upper Shelves & Lower Door, Right Upper Wardrobe & Box Box File Pedestal, Double Doors;ZXSO108741DD7L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,Dbl Drs,Up Wdrb & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;1
Left Upper Shelves & Lower Door, Right Upper Shelves & Lower Door, File File;ZXSO108741FF1L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,FF,Up Shlvs & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;0
Left Upper Shelves & Lower Door, Right Upper Shelves & File File Pedestal, File File;ZXSO108741FF2L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,FF,Up Shlvs & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;0
Left Upper Shelves & Lower Door, Right Upper Shelves & Box Box File Pedestal, File File;ZXSO108741FF3L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,FF,Up Shlvs & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;0
