,Model##other##,Description##other##,Left Storage Tower##other##,Right Storage Tower##other##,Has Left Double Doors##other##,Has Right Double Doors##other##
"Left Upper Shelves & Lower Door, Double Doors, Right Upper Wardrobe & File File Pedestal, File File",ZXDS108901DDFF6N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & Low Dr-L Twr Stor,Dbl Drs-L Int Stor,FF-R Int Stor,Up Wdrb & FF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,1,0
"Left Upper Shelves & Lower Door, Double Doors, Right Upper Wardrobe & Box Box File Pedestal, File File",ZXDS108901DDFF7N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & Low Dr-L Twr Stor,Dbl Drs-L Int Stor,FF-R Int Stor,Up Wdrb & BBF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,1,0
"Left Upper Shelves & Lower Door, File File, Right Upper Shelves & Lower Door, Double Doors",ZXDS108901FFDD1N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & Low Dr-L Twr Stor,FF-L Int Stor,Dbl Drs-R Int Stor,Up Shlvs & Low Dr-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,0,1
"Left Upper Shelves & Lower Door, File File, Right Upper Shelves & File File Pedestal, Double Doors",ZXDS108901FFDD2N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & Low Dr-L Twr Stor,FF-L Int Stor,Dbl Drs-R Int Stor,Up Shlvs & FF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,0,1
"Left Upper Shelves & Lower Door, File File, Right Upper Shelves & Box Box File Pedestal, Double Doors",ZXDS108901FFDD3N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & Low Dr-L Twr Stor,FF-L Int Stor,Dbl Drs-R Int Stor,Up Shlvs & BBF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,0,1
"Left Upper Shelves & Lower Door, File File, Right Full Wardrobe, Double Doors",ZXDS108901FFDD4N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & Low Dr-L Twr Stor,FF-L Int Stor,Dbl Drs-R Int Stor,Up Shlvs & Full Wdrb-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Full Wardrobe,0,1
"Left Upper Shelves & Lower Door, File File, Right Upper Wardrobe & Lower Door, Double Doors",ZXDS108901FFDD5N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & Low Dr-L Twr Stor,FF-L Int Stor,Dbl Drs-R Int Stor,Up Wdrb & Low Dr-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,0,1
"Left Upper Shelves & Lower Door, File File, Right Upper Wardrobe & File File Pedestal, Double Doors",ZXDS108901FFDD6N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & Low Dr-L Twr Stor,FF-L Int Stor,Dbl Drs-R Int Stor,Up Wdrb & FF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,0,1
"Left Upper Shelves & Lower Door, File File, Right Upper Wardrobe & Box Box File Pedestal, Double Doors",ZXDS108901FFDD7N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & Low Dr-L Twr Stor,FF-L Int Stor,Dbl Drs-R Int Stor,Up Wdrb & BBF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,0,1
"Left Upper Shelves & Lower Door, File File, Right Upper Shelves & Lower Door, File File",ZXDS108901FFFF1N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & Low Dr-L Twr Stor,FF-L Int Stor,FF-R Int Stor,Up Shlvs & Low Dr-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,0,0
"Left Upper Shelves & Lower Door, File File, Right Upper Shelves & File File Pedestal, File File",ZXDS108901FFFF2N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & Low Dr-L Twr Stor,FF-L Int Stor,FF-R Int Stor,Up Shlvs & FF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,0,0
"Left Upper Shelves & Lower Door, File File, Right Upper Shelves & Box Box File Pedestal, File File",ZXDS108901FFFF3N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & Low Dr-L Twr Stor,FF-L Int Stor,FF-R Int Stor,Up Shlvs & BBF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,0,0
"Left Upper Shelves & Lower Door, File File, Right Full Wardrobe, File File",ZXDS108901FFFF4N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & Low Dr-L Twr Stor,FF-L Int Stor,FF-R Int Stor,Up Shlvs & Full Wdrb-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Full Wardrobe,0,0
"Left Upper Shelves & Lower Door, File File, Right Upper Wardrobe & Lower Door, File File",ZXDS108901FFFF5N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & Low Dr-L Twr Stor,FF-L Int Stor,FF-R Int Stor,Up Wdrb & Low Dr-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,0,0
"Left Upper Shelves & Lower Door, File File, Right Upper Wardrobe & File File Pedestal, File File",ZXDS108901FFFF6N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & Low Dr-L Twr Stor,FF-L Int Stor,FF-R Int Stor,Up Wdrb & FF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,0,0
"Left Upper Shelves & Lower Door, File File, Right Upper Wardrobe & Box Box File Pedestal, File File",ZXDS108901FFFF7N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & Low Dr-L Twr Stor,FF-L Int Stor,FF-R Int Stor,Up Wdrb & BBF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,0,0
"Left Upper Shelves & File File Pedestal, Double Doors, Right Upper Shelves & Lower Door, Double Doors",ZXDS108902DDDD1N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,Up Shlvs & Low Dr-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,1,1
"Left Upper Shelves & File File Pedestal, Double Doors, Right Upper Shelves & File File Pedestal, Double Doors",ZXDS108902DDDD2N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,Up Shlvs & FF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,1,1
"Left Upper Shelves & File File Pedestal, Double Doors, Right Upper Shelves & Box Box File Pedestal, Double Doors",ZXDS108902DDDD3N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,Up Shlvs & BBF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,1,1
"Left Upper Shelves & File File Pedestal, Double Doors, Right Full Wardrobe, Double Doors",ZXDS108902DDDD4N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,Up Shlvs & Full Wdrb-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Full Wardrobe,1,1
"Left Upper Shelves & File File Pedestal, Double Doors, Right Upper Wardrobe & Lower Door, Double Doors",ZXDS108902DDDD5N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,Up Wdrb & Low Dr-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,1,1
"Left Upper Shelves & File File Pedestal, Double Doors, Right Upper Wardrobe & File File Pedestal, Double Doors",ZXDS108902DDDD6N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,Up Wdrb & FF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,1,1
"Left Upper Shelves & File File Pedestal, Double Doors, Right Upper Wardrobe & Box Box File Pedestal, Double Doors",ZXDS108902DDDD7N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,Up Wdrb & BBF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,1,1
"Left Upper Shelves & File File Pedestal, Double Doors, Right Upper Shelves & Lower Door, File File",ZXDS108902DDFF1N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs-L Int Stor,FF-R Int Stor,Up Shlvs & Low Dr-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,1,0
"Left Upper Shelves & File File Pedestal, Double Doors, Right Upper Shelves & File File Pedestal, File File",ZXDS108902DDFF2N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs-L Int Stor,FF-R Int Stor,Up Shlvs & FF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,1,0
"Left Upper Shelves & File File Pedestal, Double Doors, Right Upper Shelves & Box Box File Pedestal, File File",ZXDS108902DDFF3N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs-L Int Stor,FF-R Int Stor,Up Shlvs & BBF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,1,0
"Left Upper Shelves & File File Pedestal, Double Doors, Right Full Wardrobe, File File",ZXDS108902DDFF4N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs-L Int Stor,FF-R Int Stor,Up Shlvs & Full Wdrb-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Full Wardrobe,1,0
"Left Upper Shelves & File File Pedestal, Double Doors, Right Upper Wardrobe & Lower Door, File File",ZXDS108902DDFF5N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs-L Int Stor,FF-R Int Stor,Up Wdrb & Low Dr-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,1,0
"Left Upper Shelves & File File Pedestal, Double Doors, Right Upper Wardrobe & File File Pedestal, File File",ZXDS108902DDFF6N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs-L Int Stor,FF-R Int Stor,Up Wdrb & FF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,1,0
"Left Upper Shelves & File File Pedestal, Double Doors, Right Upper Wardrobe & Box Box File Pedestal, File File",ZXDS108902DDFF7N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs-L Int Stor,FF-R Int Stor,Up Wdrb & BBF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,1,0
"Left Upper Shelves & File File Pedestal, File File, Right Upper Shelves & Lower Door, Double Doors",ZXDS108902FFDD1N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,FF-L Int Stor,Dbl Drs-R Int Stor,Up Shlvs & Low Dr-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,0,1
"Left Upper Shelves & File File Pedestal, File File, Right Upper Shelves & File File Pedestal, Double Doors",ZXDS108902FFDD2N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,FF-L Int Stor,Dbl Drs-R Int Stor,Up Shlvs & FF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,0,1
"Left Upper Shelves & File File Pedestal, File File, Right Upper Shelves & Box Box File Pedestal, Double Doors",ZXDS108902FFDD3N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,FF-L Int Stor,Dbl Drs-R Int Stor,Up Shlvs & BBF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,0,1
"Left Upper Shelves & File File Pedestal, File File, Right Full Wardrobe, Double Doors",ZXDS108902FFDD4N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,FF-L Int Stor,Dbl Drs-R Int Stor,Up Shlvs & Full Wdrb-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Full Wardrobe,0,1
"Left Upper Shelves & File File Pedestal, File File, Right Upper Wardrobe & Lower Door, Double Doors",ZXDS108902FFDD5N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,FF-L Int Stor,Dbl Drs-R Int Stor,Up Wdrb & Low Dr-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,0,1
"Left Upper Shelves & File File Pedestal, File File, Right Upper Wardrobe & File File Pedestal, Double Doors",ZXDS108902FFDD6N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,FF-L Int Stor,Dbl Drs-R Int Stor,Up Wdrb & FF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,0,1
"Left Upper Shelves & File File Pedestal, File File, Right Upper Wardrobe & Box Box File Pedestal, Double Doors",ZXDS108902FFDD7N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,FF-L Int Stor,Dbl Drs-R Int Stor,Up Wdrb & BBF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,0,1
"Left Upper Shelves & File File Pedestal, File File, Right Upper Shelves & Lower Door, File File",ZXDS108902FFFF1N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,FF-L Int Stor,FF-R Int Stor,Up Shlvs & Low Dr-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,0,0
"Left Upper Shelves & File File Pedestal, File File, Right Upper Shelves & File File Pedestal, File File",ZXDS108902FFFF2N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,FF-L Int Stor,FF-R Int Stor,Up Shlvs & FF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,0,0
"Left Upper Shelves & File File Pedestal, File File, Right Upper Shelves & Box Box File Pedestal, File File",ZXDS108902FFFF3N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,FF-L Int Stor,FF-R Int Stor,Up Shlvs & BBF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,0,0
"Left Upper Shelves & File File Pedestal, File File, Right Full Wardrobe, File File",ZXDS108902FFFF4N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,FF-L Int Stor,FF-R Int Stor,Up Shlvs & Full Wdrb-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Full Wardrobe,0,0
"Left Upper Shelves & File File Pedestal, File File, Right Upper Wardrobe & Lower Door, File File",ZXDS108902FFFF5N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,FF-L Int Stor,FF-R Int Stor,Up Wdrb & Low Dr-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,0,0
"Left Upper Shelves & File File Pedestal, File File, Right Upper Wardrobe & File File Pedestal, File File",ZXDS108902FFFF6N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,FF-L Int Stor,FF-R Int Stor,Up Wdrb & FF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,0,0
"Left Upper Shelves & File File Pedestal, File File, Right Upper Wardrobe & Box Box File Pedestal, File File",ZXDS108902FFFF7N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,FF-L Int Stor,FF-R Int Stor,Up Wdrb & BBF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,0,0
"Left Upper Shelves & Box Box File Pedestal, Double Doors, Right Upper Shelves & Lower Door, Double Doors",ZXDS108903DDDD1N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & BBF Ped-L Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,Up Shlvs & Low Dr-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,1,1
"Left Upper Shelves & Box Box File Pedestal, Double Doors, Right Upper Shelves & File File Pedestal, Double Doors",ZXDS108903DDDD2N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & BBF Ped-L Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,Up Shlvs & FF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,1,1
"Left Upper Shelves & Box Box File Pedestal, Double Doors, Right Upper Shelves & Box Box File Pedestal, Double Doors",ZXDS108903DDDD3N,"Stor Wall w/Dbl Stor Int,108""wx90""h,Up Shlvs & BBF Ped-L Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,Up Shlvs & BBF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,1,1
