,Model##other##,Description##other##,Left Storage Tower##other##,Right Storage Tower##other##,Has Double Doors##other##
"Left Upper Shelves & File/File Pedestal, Right Upper Wardrobe & Box Box File Pedestal, Double Doors",ZXOS108902DD7L,"Stor Wall w/R Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs,Up Wdrb & BBF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,1
"Left Upper Shelves & File/File Pedestal, Right Upper Shelves & Lower Door, File File ",ZXOS108902FF1L,"Stor Wall w/R Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,FF,Up Shlvs & Low Dr-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,0
"Left Upper Shelves & File/File Pedestal, Right Upper Shelves & File File Pedestal, File File",ZXOS108902FF2L,"Stor Wall w/R Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,FF,Up Shlvs & FF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,0
"Left Upper Shelves & File/File Pedestal, Right Upper Shelves & Box Box File Pedestal, File File",ZXOS108902FF3L,"Stor Wall w/R Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,FF,Up Shlvs & BBF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,0
"Left Upper Shelves & File/File Pedestal, Right Full Wardrobe, File File",ZXOS108902FF4L,"Stor Wall w/R Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,FF,Full Wdrb-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Full Wardrobe,0
"Left Upper Shelves & File/File Pedestal, Right Upper Wardrobe & Lower Door, File File ",ZXOS108902FF5L,"Stor Wall w/R Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,FF,Up Wdrb & Low Dr-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,0
"Left Upper Shelves & File/File Pedestal, Right Upper Wardrobe & File File Pedestal, File File",ZXOS108902FF6L,"Stor Wall w/R Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,FF,Up Wdrb & FF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,0
"Left Upper Shelves & File/File Pedestal, Right Upper Wardrobe & Box Box File Pedestal, File File",ZXOS108902FF7L,"Stor Wall w/R Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,FF,Up Wdrb & BBF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,0
"Left Upper Shelves & Box/Box/File Pedestal,Right Upper Shelves & Lower Door,  Double Doors, Double Door",ZXOS108903DD1L,"Stor Wall w/R Stor Int,108""wx90""h,Up Shlvs & BBF Ped-L Twr Stor,Dbl Drs,Up Shlvs & Low Dr-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,1
"Left Upper Shelves & Box/Box/File Pedestal,Right Upper Shelves & File File Pedestal, Double Doors",ZXOS108903DD2L,"Stor Wall w/R Stor Int,108""wx90""h,Up Shlvs & BBF Ped-L Twr Stor,Dbl Drs,Up Shlvs & FF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,1
"Left Upper Shelves & Box/Box/File Pedestal,Right Upper Shelves & Box Box File Pedestal, Double Doors",ZXOS108903DD3L,"Stor Wall w/R Stor Int,108""wx90""h,Up Shlvs & BBF Ped-L Twr Stor,Dbl Drs,Up Shlvs & BBF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,1
"Left Upper Shelves & Box/Box/File Pedestal,Right Full Wardrobe, Double Doors",ZXOS108903DD4L,"Stor Wall w/R Stor Int,108""wx90""h,Up Shlvs & BBF Ped-L Twr Stor,Dbl Drs,Full Wdrb-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,Storage-Unit-Teknion-Tower : Full Wardrobe,1
"Left Upper Shelves & Box/Box/File Pedestal,Right Upper Wardrobe & Lower Door, Double Doors",ZXOS108903DD5L,"Stor Wall w/R Stor Int,108""wx90""h,Up Shlvs & BBF Ped-L Twr Stor,Dbl Drs,Up Wdrb & Low Dr-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,1
"Left Upper Shelves & Box/Box/File Pedestal,Right Upper Wardrobe & File File Pedestal, Double Doors",ZXOS108903DD6L,"Stor Wall w/R Stor Int,108""wx90""h,Up Shlvs & BBF Ped-L Twr Stor,Dbl Drs,Up Wdrb & FF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,1
